well_id,plate,row,column,benomyl_says_diploid,flow_says_diploid,benomyl_is_borderline,agreement,disagreement_type,disagreement_explanation,benomyl_confidence,flow_confidence,benomyl_notes,benomyl_double_checked,flow_all_events_count,flow_singlets_count,flow_haploid_count,flow_diploid_count,flow_ambiguous_count,flow_haploid_percent,flow_diploid_percent,flow_ambiguous_percent,flow_mixed_population,flow_source_file,in_benomyl,in_flow
WGS1A1,1,A,1,True,False,True,False,benomyl_diploid_flow_haploid,Both methods show uncertainty,0.5,0.4258809234507898,,False,5000.0,1646.0,701.0,0.0,945.0,42.588092345078984,0.0,57.41190765492102,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A2,1,A,2,False,True,False,False,benomyl_haploid_flow_diploid,Mixed or unclear population in flow cytometry,1.0,0.2265174635469651,,False,5000.0,2949.0,1.0,668.0,2280.0,0.0339097999321804,22.65174635469651,77.31434384537131,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A3,1,A,3,True,False,True,False,benomyl_diploid_flow_haploid,Both methods show uncertainty,0.5,0.4371482176360225,,False,5000.0,3731.0,1631.0,15.0,2085.0,43.71482176360225,0.40203698740284105,55.8831412489949,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A4,1,A,4,True,False,False,False,benomyl_diploid_flow_haploid,Mixed or unclear population in flow cytometry,1.0,0.30526597166533015,,False,5000.0,3741.0,1142.0,6.0,2593.0,30.526597166533016,0.16038492381716118,69.31301790964982,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A5,1,A,5,True,True,True,True,,,0.5,0.26727642276422764,,False,5000.0,2952.0,1.0,789.0,2162.0,0.03387533875338753,26.727642276422763,73.23848238482384,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A6,1,A,6,False,False,True,True,,,0.5,0.32019308125502816,,False,5000.0,3729.0,1194.0,9.0,2526.0,32.01930812550282,0.2413515687851971,67.73934030571199,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A7,1,A,7,False,False,True,True,,,0.5,0.3656836461126005,,False,5000.0,3730.0,1364.0,6.0,2360.0,36.56836461126005,0.16085790884718498,63.27077747989276,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A8,1,A,8,True,False,False,False,benomyl_diploid_flow_haploid,Mixed or unclear population in flow cytometry,1.0,0.36709211986681467,,False,5000.0,3604.0,1323.0,4.0,2277.0,36.70921198668147,0.11098779134295228,63.17980022197558,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A9,1,A,9,True,False,True,False,benomyl_diploid_flow_haploid,Both methods show uncertainty,0.5,0.4305875576036866,,False,5000.0,3472.0,1495.0,5.0,1972.0,43.05875576036866,0.14400921658986177,56.79723502304147,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A10,1,A,10,False,False,True,True,,,0.5,0.2916666666666667,,False,5000.0,3792.0,1106.0,10.0,2676.0,29.166666666666668,0.26371308016877637,70.56962025316456,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A11,1,A,11,False,True,True,False,benomyl_haploid_flow_diploid,Both methods show uncertainty,0.5,0.2412741443578448,,False,5000.0,2951.0,1.0,712.0,2238.0,0.033886818027787195,24.12741443578448,75.83869874618773,True,WGS1_ploidy_assay.xlsx,True,True
WGS1A12,1,A,12,False,,True,,,,0.5,,,False,,,,,,,,,,,True,False
WGS1B1,1,B,1,True,False,True,False,benomyl_diploid_flow_haploid,Both methods show uncertainty,0.5,0.0,,False,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,WGS1_ploidy_assay.xlsx,True,True
WGS1B2,1,B,2,False,False,False,True,,,1.0,0.476792009400705,,False,5000.0,3404.0,1623.0,2.0,1779.0,47.6792009400705,0.05875440658049354,52.26204465334901,True,WGS1_ploidy_assay.xlsx,True,True
WGS1B3,1,B,3,True,False,True,False,benomyl_diploid_flow_haploid,Both methods show uncertainty,0.5,0.361503674392312,,False,5000.0,3538.0,1279.0,5.0,2254.0,36.1503674392312,0.14132278123233466,63.708309779536464,True,WGS1_ploidy_assay.xlsx,True,True
